RESPNO,URBRUR,REGION,LOCATION.LEVEL.1,EA_SVC_A,EA_SVC_B,EA_SVC_C,EA_SVC_D,EA_SVC_E,EA_FAC_A,EA_FAC_B,EA_FAC_C,EA_FAC_D,EA_FAC_E,EA_FAC_F,EA_FAC_F2,EA_FAC_G,EA_SEC_A,EA_SEC_B,EA_SEC_C,EA_SEC_D,EA_SEC_E,EA_ROAD_A,EA_ROAD_B,EA_ROAD_C,NOCALL_1,NOCALL_2,NOCALL_3,NOCALL_4,NOCALL_5,DATEINTR,STRTIME,Q1,Q2,Q2OTHER,Q3,Q4A,Q4B,Q5A,Q5B,Q6,Q7A,Q7B,Q7C,Q7D,Q7E,Q8A,Q8B,Q8C,Q9,Q10A,Q10B,Q10C,Q11A,Q11B,Q11C,Q11D,Q12A,Q12B,Q12C,Q13A,Q13B,Q13C,Q13D,Q14,Q15,Q16A,Q16B,Q17,Q18A,Q18B,Q19,Q20,Q21A,Q21B,Q21C,Q22,Q23,Q24,Q25,Q26A,Q26B,Q27,Q28,Q29,Q30,Q31A,Q31B,Q32,Q33,Q34A,Q34B,Q34C,Q34D,Q34E,Q34F,Q35,Q36A,Q36B,Q37A,Q37B,Q37C,Q37D,Q37E,Q37F,Q37G,Q37H,Q37I,Q37J,Q37K,Q37L,Q37M,Q37N_ZIM,Q38A,Q38B,Q38C,Q38D,Q38E,Q38F,Q38G,Q38H,Q38I,Q38J,Q38K,Q39A,Q39B,Q40A,Q40B,Q40C,Q40D,Q40E,Q40F,Q40G,Q40H,Q41A,Q41B,Q41C,Q41D,Q42A,Q42B,Q43,Q44A,Q44B,Q44C,Q45A,Q45B,Q45C,Q45D,Q45E,Q46PT1OTHER,Q46PT1,Q46PT2OTHER,Q46PT2,Q46PT3OTHER,Q46PT3,Q47A,Q47B,Q47C,Q47D,Q47E,Q47F,Q47G,Q47H,Q47I,Q47J,Q47K,Q47L,Q47M,Q48A,Q48B,Q48C,Q49A,Q49B,Q50,Q51,Q52A,Q52B,Q52C,Q52D,Q53A,Q53B,Q54,Q54Other,Q55A,Q55B,Q55C,Q55D,Q55E,Q56,Q57A,Q57B,Q58,Q59A,Q59B,Q59C,Q60A,Q60B,Q61A,Q61B,Q62A,Q62B,Q62C,Q62D,Q63A,Q63B,Q63C,Q63D,Q63E_ZIM,Q63F_ZIM,Q64A,Q64B,Q64C,Q64D,Q64E,Q65A,Q65B,Q65C,Q65D,Q65E,Q66,Q67A,Q67B,Q67C,Q67D,Q67E,Q67F,Q67G,Q67H,Q68,Q69A,Q69B,Q70A,Q70B,Q70C,Q71A,Q71B,Q72,Q72Other,Q73A,Q73B,Q73C,Q73D,Q74,Q75,Q76A,Q76B,Q77_ZIM,Q78A_ZIM,Q78B_ZIM,Q79A_ZIM,Q79B_ZIM,Q80A_ZIM,Q80B_ZIM,Q81A_ZIM,Q81B_ZIM,Q81C_ZIM,Q81D_ZIM,Q81E_ZIM,Q81F_ZIM,Q81G_ZIM,Q81H_ZIM,Q82,Q82Other,Q83A,Q83AOther,Q83B,Q83C,Q84,Q85A,Q85B,Q85C,Q85D,Q86A,Q86B,Q86C,Q86D,Q86E,Q86F,Q87A,Q87B,Q87C,Q87D,Q87E,Q88A,Q88B,Q88C,Q88D,Q88E,Q88F,Q89A,Q89B,Q89BOther,Q90A,Q90B,Q90C,Q90D,Q90E,Q90F,Q90G,Q90H,Q90I,Q90J,Q91A,Q91B,Q92,Q92Other,Q93A,Q93B,Q93C,Q93D,Q93DOther,Q94A,Q94B,Q94BOther,Q94C,Q94D,Q94E,Q95,Q96,Q97,Q97Other,Q98,Q98Other,Q99,Q99Other,Q100,ENDTIME,LENGTH,LENGTH_INT,Q101,Q102,Q102Other,Q103,Q104A,Q104B,Q104C,Q104D,Q104E,Q106A,Q106B,Q106C,Q106D,Q106E,Q106F,Q108,Q109,Q110,Q111,Q111OTHER,Q112,Q112OTHER,Q113,Q113OTHER,Q114,Q115_1,Q115_2,Q115_3,Q115_4,Q115_5,Q115_6,Q115_7,Q115_8,Q115OTHER,withinwt_ea,withinwt_hh
ZIM0001,Urban,MASHONALAND WEST,NORTON,Yes,Yes,Can't determine,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Paved tar/concrete,Paved tar/concrete,Very good,No adults in household,Interview was successful,Interview was successful,Interview was successful,Interview was successful,6/1/2024,9:49:01,36,Shona, ,Going in the wrong direction,Very bad,Very bad,Much worse,Same,Worse,Several times,Several times,Just once or twice,Just once or twice,Many times,"Yes, several times","Yes, several times",No,Just once or twice,Not very free,Completely free,Completely free,No,No,No,No,Never,Never,Never,I voted in the election,Not applicable,Not applicable,Not applicable,Strongly disagree,"Free and fair, but with major problems",Somewhat likely,A little bit,Agree with 2,Agree with 1,Agree with 1,Agree with 1,Agree with 1,Disapprove,Strongly disapprove,Strongly disapprove,STATEMENT 1: Democracy is preferable to any other kind of government.,Agree with 1,Agree with 2,Agree with 1,Agree with 1,Agree with 1,Agree with 2,Agree with 2,Agree with 1,Agree with 2,Agree with 1,Statement 1: The military should always restore civilian rule as soon as possible.,Not a democracy,Not at all satisfied,Often,Often,Often,Always,Always,Often,Somewhat free,Never,Never,Somewhat,Somewhat,Not at all,Not at all,Not at all,Not at all,Not at all,A lot,Not at all,Somewhat,Not at all,Somewhat,Somewhat,Not at all,Most of them,Most of them,Some of them,Most of them,Some of them,Most of them,Most of them,Most of them,Some of them,Most of them,Some of them,Increased a lot,Risk retaliation or other negative consequences,Yes,Easy,Never,Once or twice,Often,Never,Once or twice,Never,No,Not Applicable,Not applicable,Cannot afford it,A little,Disagree,Agree with 1,No,Not applicable,Not applicable,Yes,Easy,Once or twice,Often,Once or twice, ,Health, ,Poverty/ Destitution, ,Unemployment,Very badly,Very badly,Very badly,Very badly,Very badly,Very badly,Very badly,Very badly,Fairly badly,Very badly,Fairly well,Fairly well,Fairly well,Strongly disapprove,Strongly disapprove,Disapprove,Disagree,Strongly disagree,Jobs training,Agree with 2,Never,Rarely,Rarely,Rarely,Need to do much more,Very likely,Nowhere / I would not try to resolve it / There is no place to go / No hope of chance for resolution, ,Not at all likely,Not at all likely,Not at all likely,Not very likely,Not very likely,No,Not very confident,Too harsh,Too lenient,Much more severe,Somewhat less severe,Much more severe,Yes,Somewhat worse,"Human activity, like cutting down forests, or burning fuel and other activities that pollute the atmosphere","People, businesses and governments in other parts of the world",Disagree,Strongly agree,Strongly agree,Business and industry,Agree,Strongly agree,Agree,Strongly agree,Not asked in country,Disagree,No,No,No,Not applicable,No,A few times a week,Every day,Less than once a month,Every day,A few times a week,A lot,Somewhat positive,Very negative,Neither positive nor negative,Somewhat positive,Somewhat positive,Very positive,Very positive,Somewhat positive,Don’t know / Haven’t heard enough,Yes,Be neutral,Agree,Agree,Strongly agree,A lot,Europe,Find work/better job/better work opportunities, ,Fairly good,Fewer job seekers,About the same,Very easy,No,All countries globally,Agree with 1,Agree with 1,Opposition parties are going through a temporary phase of disarray but will recover,Disagree,Agree,Yes,Not at all confident at all,Very widespread,Arresting and imposing severe penalties for drug users or offenders,Not at all,Not at all,Not at all,A lot,Not at all,A lot,A lot,Strongly Agree,Not asked in country, ,Karanga, ,Never,I feel equally (national identity) and (ethnic group),Often,Sometimes justified,Sometimes justified,Never justified,Never justified,Disagree,Strongly disagree,Disagree,Disagree,Strongly agree,Strongly agree,A lot,A lot,Somewhat,Somewhat,Somewhat,Strongly like,Strongly like,Somewhat dislike,Strongly like,Strongly like,Strongly like,Yes (feels close to a party),Refused to answer, ,Yes (personally owns),Yes (personally owns),Yes (personally owns),Yes (personally owns),Yes (personally owns),Yes (personally owns),Yes (personally owns),Yes (Has Internet access),Every day,Every day,Inside the house,Inside the house,Piped public or community water system, ,Yes,Most of the time,No,Not applicable, ,"Yes, full time","Mid-level professional (e.g., teacher, nurse, mid-level government officer)", ,Working for a non-government organization,Lack of experience required by employers,Some other barrier,You make the decisions jointly with your spouse,"Post-secondary qualifications, other than university e.g. a diploma or degree from a polytechnic or college","Pentecostal (e.g., “Born Again” and/or “Saved”)", ,Refused to answer, ,Private company, ,No,11:16:27,87.4393833333333,No,Woman,Shona, ,Children only,No,No,No,No,No,Friendly,Interested,Cooperative,Patient,At ease,Honest,ZIM30,34,Woman,Not asked in country, ,Shona, ,Ndebele, ,University completed,English,Ndebele,Shona,No further response,No further response,No further response,No further response,No further response, ,.844980142378554,1.06734333774133
ZIM0002,Urban,MASHONALAND WEST,NORTON,Yes,Yes,Can't determine,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Paved tar/concrete,Paved tar/concrete,Very good,Interview was successful,Interview was successful,Interview was successful,Interview was successful,Interview was successful,6/1/2024,9:50:12,25,Shona, ,Going in the wrong direction,Fairly good,Fairly bad,Better,Better,Worse,Never,Never,Never,Just once or twice,Several times,No,"Yes, once or twice",No,Just once or twice,Not at all free,Somewhat free,Completely free,No,No,No,No,Never,Never,Never,I voted in the election,Not applicable,Not applicable,Not applicable,Disagree,Not free and fair,Very likely,A lot,Agree with 1,Agree with 2,Agree with 2,Agree with 2,Agree with 1,Approve,Strongly disapprove,Disapprove,"STATEMENT 2: In some circumstances, a non-democratic government can be preferable.",Agree with 1,Agree with 2,Agree with 1,Agree with 2,Agree with 2,Agree with 2,Agree with 2,Agree with 1,Agree with 2,Agree with 1,Statement 3: The military should rule for as long as they think it is best for the country.,Not a democracy,Not at all satisfied,Often,Never,Rarely,Often,Always,Always,Completely free,Never,Only sometimes,Somewhat,Somewhat,Somewhat,A lot,Somewhat,Not at all,Just a little,A lot,Just a little,A lot,Don’t know/Haven’t heard enough to say,Just a little,Just a little,Somewhat,None,Some of them,Some of them,Some of them,Some of them,None,All of them,Some of them,Some of them,None,None,Decreased somewhat,Risk retaliation or other negative consequences,Yes,Very easy,Once or twice,Often,Never,Often,Never,Once or twice,No,Not Applicable,Not applicable,Not aware of any health insurance schemes,A lot,Agree,Agree with 1,No,Not applicable,Not applicable,No,Not applicable,Not applicable,Often,Often, ,Corruption, ,Food shortage/ Famine, ,Unemployment,Fairly badly,Fairly well,Very badly,Fairly badly,Fairly badly,Fairly badly,Fairly well,Fairly badly,Fairly well,Very badly,Very well,Fairly badly,Fairly badly,Approve,Approve,Disapprove,Disagree,Strongly agree,Education,Agree with 1,Never,Rarely,Never,Often,Need to do much more,Not very likely,Political leaders, ,Somewhat likely,Not at all likely,Somewhat likely,Somewhat likely,Somewhat likely,Yes,Somewhat confident,About right,About right,Much more severe,Stayed the same,Somewhat more severe,No,Not Applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Disagree,Agree,Agree,Agree,Not asked in country,Agree,No,No,No,No,Yes,Never,Never,Never,A few times a week,Never,A lot,Somewhat negative,Very positive,Somewhat negative,Neither positive nor negative,Neither positive nor negative,Neither positive nor negative,Neither positive nor negative,Don’t know,Some other answer,Yes,Side with Russia,Agree,Agree,Agree,Not at all,Not applicable,Not applicable, ,Fairly bad,Fewer job seekers,About the same,Easy,No,All countries globally,Agree with 2,Agree with 2,Opposition parties are going through a temporary phase of disarray but will recover,Disagree,Disagree,Yes,Somewhat confident,Very widespread,Some other solution,Not at all,Somewhat,Somewhat,Somewhat,Not at all,Not at all,Not at all,Strongly Disagree,Not asked in country, ,Shona, ,Never,I feel only (national identity),Often,Never justified,Sometimes justified,Never justified,Never justified,Strongly agree,Disagree,Strongly agree,Strongly agree,Disagree,Agree,Not at all,Just a little,Just a little,Not at all,Just a little,Would not care,Somewhat  like,Strongly dislike,Strongly dislike,Strongly dislike,Strongly dislike,Yes (feels close to a party),Zimbabwe African National Union - Patriotic Front -ZANU-PF, ,Someone else in household owns,Someone else in household owns,"No, no one in the household owns","No, no one in the household owns","No, no one in the household owns",Yes (personally owns),Yes (personally owns),Yes (Has Internet access),Every day,Less than once a month,Inside the house,Inside the compound,Piped public or community water system, ,Yes,Occasionally,No,Not applicable, ,No (looking),"Unskilled manual worker (e.g., cleaner, laborer, domestic help, unskilled manufacturing worker)", ,"Working for a private company, industry, or business",Some other barrier,It is not socially accepted for women to work outside the home.,You make the decisions jointly with your spouse,Primary school completed,"Independent (e.g., “African Independent Church”)", ,Zimbabwe African National Union-Patriotic Front - ZANU-PF, ,Political party or politician, ,No,11:13:02,82.8305833333333,No,Man,Shona, ,No one,No,No,No,No,No,Friendly,Interested,Cooperative,Patient,At ease,Honest,ZIM27,52,Woman,Not asked in country, ,Shona, ,Shona, ,University completed,English,Ndebele,Shona,No further response,No further response,No further response,No further response,No further response, ,.844980142378554,.711562225160888
ZIM0003,Urban,MASHONALAND WEST,NORTON,Yes,Yes,Can't determine,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Paved tar/concrete,Paved tar/concrete,Very good,Refused to be interviewed,Refused to be interviewed,Interview was successful,Interview was successful,Interview was successful,6/1/2024,9:55:53,55,Karanga, ,Don't know,Neither good nor bad,Neither good nor bad,Same,Same,Same,Several times,Never,Always,Always,Many times,No,No,"Yes, once or twice",Many times,Completely free,Completely free,Completely free,No,No,No,No,Never,Never,Never,I voted in the election,Not applicable,Not applicable,Not applicable,Strongly disagree,Not free and fair,Not very likely,A little bit,Agree with 2,Agree with 1,Agree with 1,Agree with 1,Agree with 1,Strongly disapprove,Disapprove,Strongly disapprove,STATEMENT 1: Democracy is preferable to any other kind of government.,Agree with 1,Agree with 2,Agree with 1,Agree with 1,Agree with 1,Agree with 1,Agree with 2,Agree with 1,Agree with 1,Agree with 1,Statement 1: The military should always restore civilian rule as soon as possible.,"A democracy, with major problems",Not very satisfied,Often,Often,Often,Often,Often,Rarely,Not very free,Only sometimes,Only sometimes,Just a little,Just a little,Just a little,Somewhat,Not at all,Just a little,Just a little,Just a little,Just a little,Somewhat,Just a little,Somewhat,Somewhat,Not at all,Most of them,Most of them,Most of them,Most of them,Most of them,Most of them,Most of them,Most of them,Some of them,Most of them,Some of them,Increased somewhat,Risk retaliation or other negative consequences,No,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Yes,Community-based or mutual health insurance,Not very satisfied,Not applicable,Somewhat,Neither agree nor disagree,Agree with 1,No,Not applicable,Not applicable,No,Not applicable,Not applicable,A few times,Once or twice, ,Unemployment, ,Democracy/ Political rights, ,No further reply,Fairly badly,Fairly badly,Fairly badly,Fairly badly,Fairly badly,Fairly badly,Fairly badly,Fairly badly,Fairly badly,Very badly,Fairly badly,Fairly well,Fairly badly,Disapprove,Disapprove,Disapprove,Disagree,Strongly disagree,Job creation,Agree with 2,Rarely,Rarely,Often,Rarely,Need to do somewhat more,Somewhat likely,The police, ,Somewhat likely,Not very likely,Somewhat likely,Not very likely,Somewhat likely,No,Not very confident,About right,About right,Much more severe,Much less severe,Much more severe,Yes,Somewhat worse,Both human activity and natural processes,Don’t know / Haven’t heard enough,Agree,Agree,Strongly agree,The government of country,Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Not asked in country,Strongly agree,No,Yes,No,No,No,A few times a week,A few times a week,A few times a month,Less than once a month,Never,A lot,Somewhat negative,Neither positive nor negative,Somewhat negative,Don’t know,Don’t know,Somewhat positive,Very positive,Somewhat negative,Don’t know / Haven’t heard enough,Yes,Don’t know,Don't know/Haven't heard enough to say,Don't know/Haven't heard enough to say,Strongly disagree,Not at all,Not applicable,Not applicable, ,Fairly good,About the same,About the same,Very easy,No,All African countries,Agree with 1,Agree with 1,Opposition parties in Zimbabwe are in a state of permanent disarray,Agree,Strongly Disagree,Yes,Not very confident,Very widespread,Providing mandatory rehabilitation services for drug users and abusers,Not at all,Just a little,Just a little,Somewhat,Somewhat,Somewhat,Somewhat,Strongly Disagree,Not asked in country, ,Shona, ,Never,I feel equally (national identity) and (ethnic group),Often,Always justified,Always justified,Never justified,Never justified,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat,Not at all,Not at all,Just a little,Not at all,Somewhat  like,Strongly like,Somewhat dislike,Somewhat  like,Somewhat dislike,Somewhat  like,Yes (feels close to a party),Zimbabwe African National Union - Patriotic Front -ZANU-PF, ,Yes (personally owns),Yes (personally owns),"No, no one in the household owns",Someone else in household owns,Yes (personally owns),Yes (personally owns),Yes (personally owns),Yes (Has Internet access),A few times a week,A few times a week,Inside the house,Inside the house,Piped public or community water system, ,Yes,Most of the time,No,Not applicable, ,"Yes, full time","Mid-level professional (e.g., teacher, nurse, mid-level government officer)", ,Starting your own business,Some other barrier,Some other barrier,You make the decisions jointly with your spouse,Secondary school / high school completed,"Christian only (i.e., respondents says only “Christian”, without identifying a specific sub-group)", ,Zimbabwe African National Union-Patriotic Front - ZANU-PF, ,Don’t know, ,No,12:44:36,52,Yes,Woman,Shona, ,Another adult/a few others,Yes,Yes,No,Yes,No,Hostile,In between,In between,In between,Suspicious,Honest,ZIM28,41,Man,Not asked in country, ,Ndebele, ,Ndebele, ,Post graduate,English,Ndebele,Shona,Zezuru,Korekore,Karanga,No further response,No further response, ,.844980142378554,.355781112580444
ZIM0004,Urban,MASHONALAND WEST,NORTON,Yes,Yes,Can't determine,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Paved tar/concrete,Paved tar/concrete,Very good,Interview was successful,Interview was successful,Interview was successful,Interview was successful,Interview was successful,6/1/2024,9:58:50,48,Shona, ,Going in the right direction,Neither good nor bad,Fairly good,Worse,Better,Worse,Never,Never,Never,Never,Several times,No,No,No,Just once or twice,Somewhat free,Not very free,Somewhat free,No,No,No,No,A few times,A few times,Never,I voted in the election,Not applicable,Not applicable,Not applicable,Strongly disagree,Not free and fair,Somewhat likely,A little bit,Agree with 2,Agree with 1,Agree with 1,Agree with 2,Agree with 1,Strongly disapprove,Strongly disapprove,Strongly disapprove,STATEMENT 1: Democracy is preferable to any other kind of government.,Agree with 1,Agree with 2,Agree with 1,Agree with 1,Agree with 1,Agree with 2,Agree with 2,Agree with 1,Agree with 2,Agree with 1,Statement 1: The military should always restore civilian rule as soon as possible.,"A democracy, with major problems",Fairly satisfied,Refused,Refused,Refused,Rarely,Often,Rarely,Somewhat free,Only sometimes,Only sometimes,Somewhat,Somewhat,Not at all,Not at all,Somewhat,Somewhat,Just a little,A lot,Not at all,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Some of them,Some of them,Some of them,Some of them,Some of them,Some of them,Some of them,Some of them,Some of them,Most of them,Some of them,Increased somewhat,Can report without fear,No,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Not Applicable,Not applicable,Cannot afford it,A lot,Strongly agree,Agree with 1,Yes,Difficult,A few times,No,Not applicable,Not applicable,Often,Never, ,Health, ,Loans / Credit, ,Unemployment,Fairly well,Very badly,Very badly,Very well,Very badly,Fairly well,Very badly,Very badly,Very badly,Very badly,Fairly well,Fairly well,Fairly well,Approve,Don’t know or haven't heard enough to say,Don’t know or haven't heard enough to say,Disagree,Strongly agree,Job creation,Agree with 2,Never,Rarely,Rarely,Never,Need to do much more,Very likely,The police, ,Very likely,Very likely,Very likely,Very likely,Very likely,No,Somewhat confident,About right,About right,Somewhat more severe,Stayed the same,Much more severe,Yes,Much worse,Both human activity and natural processes,"The people, businesses and government of country",Agree,Strongly agree,Strongly disagree,Business and industry,Strongly agree,Strongly agree,Strongly agree,Agree,Not asked in country,Strongly agree,No,No,No,No,Yes,A few times a week,Every day,Never,Every day,Every day,A lot,Somewhat positive,Somewhat positive,Somewhat positive,Somewhat positive,Somewhat positive,Somewhat positive,Somewhat positive,Somewhat positive,Don’t know / Haven’t heard enough,Yes,Be neutral,Disagree,Agree,Strongly agree,A lot,Central or South America,Economic hardship, ,Fairly good,About the same,About the same,Difficult,Yes,All countries globally,Agree with 1,Agree with 2,Opposition parties are going through a temporary phase of disarray but will recover,Strongly Agree,Disagree,Yes,Somewhat confident,Somewhat widespread,Intensifying efforts at reducing drug peddling,Somewhat,Somewhat,Somewhat,Not at all,Somewhat,Just a little,Just a little,Strongly Agree,Not asked in country, ,Zezuru, ,Never,I feel only (national identity),Rarely,Sometimes justified,Sometimes justified,Never justified,Never justified,Strongly agree,Strongly agree,Strongly agree,Disagree,Agree,Strongly disagree,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Would not care,Would not care,Strongly dislike,Would not care,Would not care,Would not care,Yes (feels close to a party),Refused to answer, ,Yes (personally owns),Yes (personally owns),"No, no one in the household owns",Yes (personally owns),Yes (personally owns),Yes (personally owns),Yes (personally owns),Yes (Has Internet access),Every day,Every day,Inside the house,Inside the compound,Tubewell or borehole, ,Yes,Most of the time,Yes,Generator, ,"Yes, full time",Agriculture / farming / fishing / forestry, ,Starting your own business,There is a mismatch between education qualifications and job requirements,Lack of remote or flexible work arrangements,You make the decisions jointly with your spouse,"Post-secondary qualifications, other than university e.g. a diploma or degree from a polytechnic or college","Christian only (i.e., respondents says only “Christian”, without identifying a specific sub-group)", ,Refused to answer, ,"Government (including any government official, government agency or ministry, or any other part of government named by t", ,Yes,11:15:13,76.3832166666667,No,Man,English, ,No one,No,No,No,No,No,Friendly,Interested,Cooperative,Patient,At ease,Honest,ZIM29,35,Woman,Not asked in country, ,Ndebele, ,Ndebele, ,University completed,English,Ndebele,Shona,No further response,No further response,No further response,No further response,No further response, ,.844980142378554,.711562225160888
ZIM0005,Urban,MASHONALAND WEST,ZVIMBA,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,Unpaved gravel,Unpaved gravel,Fair,Interview was successful,Interview was successful,Interview was successful,Interview was successful,Interview was successful,6/1/2024,10:08:29,39,Zezuru, ,Going in the wrong direction,Neither good nor bad,Neither good nor bad,Much worse,Much worse,Much worse,Several times,Never,Many times,Many times,Many times,"Yes, several times","Yes, several times",No,Never,Not at all free,Completely free,Completely free,No,No,No,No,Never,Never,Never,I voted in the election,Not applicable,Not applicable,Not applicable,Strongly disagree,Not free and fair,Not at all likely,Not at all,Agree with 2,Agree with 1,Agree with 1,Agree with 2,Agree with 1,Strongly disapprove,Strongly disapprove,Strongly disapprove,STATEMENT 1: Democracy is preferable to any other kind of government.,Agree with 1,Agree with 2,Agree with 1,Agree with 1,Agree with 1,Agree with 2,Agree with 2,Agree with 1,Agree with 1,Agree with 1,Statement 1: The military should always restore civilian rule as soon as possible.,Not a democracy,Not very satisfied,Always,Often,Often,Always,Often,Rarely,Somewhat free,Only sometimes,Never,Somewhat,Not at all,Not at all,Not at all,Somewhat,Somewhat,Somewhat,Not at all,Just a little,Somewhat,Somewhat,Just a little,Somewhat,Somewhat,Most of them,Most of them,Most of them,Most of them,All of them,Most of them,Most of them,Most of them,Don't know/ Haven’t heard,Most of them,Don't know/ Haven’t heard,Stayed the same,Risk retaliation or other negative consequences,Yes,Very easy,Never,Never,A few times,Once or twice,Often,Often,No,Not Applicable,Not applicable,Cannot afford it,A lot,Strongly agree,Agree with 1,No,Not applicable,Not applicable,No,Not applicable,Not applicable,Often,Never, ,Management of the economy, ,Health, ,No further reply,Very badly,Very badly,Very badly,Very badly,Very badly,Very badly,Fairly badly,Fairly well,Very badly,Very badly,Fairly badly,Very badly,Fairly well,Disapprove,Strongly disapprove,Strongly disapprove,Strongly disagree,Strongly disagree,Education,Agree with 2,Never,Often,Rarely,Rarely,Need to do much more,Somewhat likely,The police, ,Somewhat likely,Not very likely,Not at all likely,Not at all likely,Not very likely,No,Not very confident,Too harsh,Too lenient,Much more severe,Much less severe,Much more severe,Yes,Much worse,Natural weather patterns or natural processes,None of these,Neither Agree nor disagree,Don't know/Haven't heard enough to say,Don't know/Haven't heard enough to say,Ordinary Citizens,Agree,Agree,Don’t know,Don’t know,Not asked in country,Agree,Yes,Yes,No,No,Don't know,Every day,Never,Never,Never,Never,A little,Don’t know,Somewhat negative,Don’t know,Don’t know,Don’t know,Don’t know,Don’t know,Don’t know,Don’t know / Haven’t heard enough,Yes,Don’t know,Don't know/Haven't heard enough to say,Don't know/Haven't heard enough to say,Agree,Not at all,Not applicable,Not applicable, ,Very good,About the same,Fewer refugees,Very difficult,No,All African countries,Agree with 1,Agree with 1,Opposition parties in Zimbabwe are in a state of permanent disarray,Strongly Disagree,Don’t know/ Haven’t heard enough,Yes,Not at all confident at all,Very widespread,Arresting and imposing severe penalties for drug users or offenders,Just a little,Just a little,Just a little,Somewhat,Just a little,A lot,Somewhat,Strongly Agree,Not asked in country, ,Zezuru, ,Never,I feel only (national identity),Occasionally,Sometimes justified,Sometimes justified,Never justified,Never justified,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Would not care,Would not care,Strongly dislike,Strongly like,Would not care,Somewhat  like,Yes (feels close to a party),Nelson Chamisa aligned, ,Yes (personally owns),"No, no one in the household owns","No, no one in the household owns","No, no one in the household owns",Yes (personally owns),Yes (personally owns),Yes (personally owns),No (Does not have Internet access),Every day,Never,Outside the compound,Outside the compound,Dug well that is protected, ,No,Not Applicable,Yes,Solar panels, ,No (not looking),Housewife / homemaker, ,Starting your own business,Lack of adequate training or preparation,Employers prefer to hire men,You make the decisions jointly with other family members,Secondary school / high school completed,"Christian only (i.e., respondents says only “Christian”, without identifying a specific sub-group)", ,Nelson Chamisa aligned, ,Non-government or religious organization, ,Yes,11:28:14,79.7384666666667,No,Woman,Shona, ,Children only,No,No,No,No,No,Friendly,Interested,Cooperative,Patient,At ease,Honest,ZIM23,52,Man,Not asked in country, ,Korekore, ,Korekore, ,University completed,Shona,Zezuru,Korekore,Manyika,Ndau,No further response,No further response,No further response, ,.999113327959007,1.33215110394534
