RESPNO,URBRUR,REGION,LOCATION.LEVEL.1,EA_SVC_A,EA_SVC_B,EA_SVC_C,EA_SVC_D,EA_SVC_E,EA_FAC_A,EA_FAC_B,EA_FAC_C,EA_FAC_D,EA_FAC_E,EA_FAC_F,EA_FAC_F2,EA_FAC_G,EA_SEC_A,EA_SEC_B,EA_SEC_C,EA_SEC_D,EA_SEC_E,EA_ROAD_A,EA_ROAD_B,EA_ROAD_C,NOCALL_1,NOCALL_2,NOCALL_3,NOCALL_4,NOCALL_5,NOCALL_6,NOCALL_7,NOCALL_8,NOCALL_9,NOCALL_10,NOCALL_11,NOCALL_12,DATEINTR,STRTIME,Q1,Q2,Q2OTHER,Q3,Q4A,Q4B,Q5A,Q5B,Q6,Q7A,Q7B,Q7C,Q7D,Q7E,Q8A,Q8B,Q8C,Q9,Q10A,Q10B,Q10C,Q11A,Q11B,Q11C,Q11D,Q12A,Q12B,Q12C,Q13A,Q13B,Q13C,Q13D,Q14,Q15,Q16A,Q16B,Q17,Q18A,Q18B,Q19,Q20,Q21A,Q21B,Q21C,Q22,Q23,Q24,Q25,Q26A,Q26B,Q27,Q28,Q29,Q30,Q31A,Q31B,Q32,Q33,Q34A,Q34B,Q34C,Q34D,Q34E,Q34F,Q35,Q36A,Q36B,Q37A,Q37B,Q37C,Q37D,Q37E,Q37F,Q37G,Q37H,Q37I,Q37J,Q37K,Q37L,Q37M,Q38A,Q38B,Q38C,Q38D,Q38E,Q38F,Q38G,Q38H,Q38I,Q38J,Q38K,Q39A,Q39B,Q40A,Q40B,Q40C,Q40D,Q40E,Q40F,Q40G,Q40H,Q41A,Q41B,Q41C,Q41D,Q42A,Q42B,Q43,Q44A,Q44B,Q44C,Q45A,Q45B,Q45C,Q45D,Q45E,Q46PT1OTHER,Q46PT1,Q46PT2OTHER,Q46PT2,Q46PT3OTHER,Q46PT3,Q47A,Q47B,Q47C,Q47D,Q47E,Q47F,Q47G,Q47H,Q47I,Q47J,Q47K,Q47L,Q47M,Q48A,Q48A1_TOG,Q48B,Q48C,Q49A,Q49B,Q50,Q51,Q52A,Q52B,Q52C,Q52D,Q53A,Q53B,Q54,Q54Other,Q55A,Q55B,Q55C,Q55D,Q55E,Q56,Q57A,Q57B,Q58,Q59A,Q59B,Q59C,Q60A,Q60B,Q61A,Q61B,Q62A,Q62B,Q62C,Q62D,Q63A,Q63B,Q63C,Q63D,Q64A,Q64B,Q64C,Q64D,Q64E,Q65A,Q65B,Q65C,Q65D,Q65E,Q66,Q67A,Q67B,Q67C,Q67D,Q67E,Q67F,Q67G,Q67H,Q68,Q69A,Q69B,Q70A,Q70B,Q70C,Q71A,Q71B,Q72,Q72Other,Q73A,Q73B,Q73C,Q73D,Q74,Q75,Q76A,Q76B,Q77A_TOG,Q77B_TOG,Q77C_TOG,Q77D_TOG,Q77E_TOG,Q77F_TOG,Q78A_TOG,Q78B_TOG,Q79A_TOG,Q79B_TOG,Q79C_TOG,Q79D_TOG,Q80A_TOG,Q80B_TOG,Q81A_TOG,Q81B_TOG,Q82,Q82Other,Q83A,Q83AOther,Q83B,Q83C,Q84,Q85A,Q85B,Q85C,Q85D,Q86A,Q86B,Q86C,Q86D,Q86E,Q86F,Q87A,Q87B,Q87C,Q87D,Q87E,Q88A,Q88B,Q88C,Q88D,Q88E,Q88F,Q89A,Q89B,Q89BOther,Q90A,Q90B,Q90C,Q90D,Q90E,Q90F,Q90G,Q90H,Q90I,Q90J,Q91A,Q91B,Q92,Q92Other,Q93A,Q93B,Q93C,Q93D,Q93DOther,Q94A,Q94B,Q94BOther,Q94C,Q94D,Q94E,Q95,Q96,Q97,Q97Other,Q98,Q98Other,Q99,Q99Other,Q100,ENDTIME,LENGTH,LENGTH_INT,Q101,Q102,Q102Other,Q103,Q104A,Q104B,Q104C,Q104D,Q104E,Q106A,Q106B,Q106C,Q106D,Q106E,Q106F,Q108,Q109,Q110,Q111,Q111Other,Q112,Q112Other,Q113,Q113Other,Q114,Q115_1,Q115_2,Q115_3,Q115_4,Q115_5,Q115_6,Q115_7,Q115_8,Q115_9,Q115_10,Q115Other,withinwt_ea,withinwt_hh
TOG0001,Rural,SAVANE,TONE,Oui,Oui,Non,Oui,Oui,Non,Oui,Non,Oui,Oui,Oui,Ne peut déterminer,Oui,Non,Non,Non,Non,Non,En terre,En terre,Bonne,Entretien réussi,Entretien réussi,Entretien réussi,Entretien réussi,Entretien réussi,Entretien réussi,Entretien réussi,Entretien réussi,Entretien réussi,Entretien réussi,Entretien réussi,Entretien réussi,11/14/2024,8:15:58,33,"Ben, Moba", ,Dans la mauvaise direction,Mal,Mal,Pires,Pires,Bien pires,Plusieurs fois,Toujours,Toujours,Quelques fois,Toujours,"Oui, plusieurs fois","Oui, une ou deux fois",Non,Jamais,Pas très libre,Entièrement libre,Entièrement libre,Non,Non,Non,Non,Jamais,Jamais,Jamais,J'ai voté aux élections,Non applicable,Non applicable,Non applicable,Tout à fait en désaccord,Entièrement libres et transparentes,Pas du tout probable,Pas du tout,D'accord avec l'Affirmation 2,D'accord avec l'Affirmation 1,D'accord avec l'Affirmation 1,D'accord avec l'Affirmation 2,D'accord avec l'Affirmation 1,D’accord,En désaccord,En désaccord,"AFFIRMATION 2: Dans certaines circonstances, un gouvernement non démocratique peut être préférable.",D'accord avec l'Affirmation 1,D'accord avec l'Affirmation 2,D'accord avec l'Affirmation 1,D'accord avec l'Affirmation 1,D'accord avec l'Affirmation 1,D'accord avec l'Affirmation 2,D'accord avec l'Affirmation 2,D'accord avec l'Affirmation 2,D'accord avec l'Affirmation 1,D'accord avec l'Affirmation 2,Affirmation 2: Les militaires doivent prévoir une transition progressive vers un régime civil lorsque le pays sera pr,Pas une démocratie,Pas du tout satisfait,Rarement,Jamais,Rarement,Rarement,Rarement,Jamais,Entièrement libres,Jamais,Jamais,Beaucoup confiance,Beaucoup confiance,Beaucoup confiance,Beaucoup confiance,Beaucoup confiance,Juste un peu confiance,Beaucoup confiance,Beaucoup confiance,Beaucoup confiance,Beaucoup confiance,Partiellement confiance,Beaucoup confiance,Beaucoup confiance,Certains d’entre eux,Tous,La plupart d’entre eux,La plupart d’entre eux,Tous,Tous,Tous,La plupart d’entre eux,La plupart d’entre eux,Tous,Certains d’entre eux,Beaucoup augmenté,Risquent des représailles ou d’autres conséquences négatives,Oui,Difficile,Jamais,Une ou deux fois,Une ou deux fois,Jamais,Quelques fois,Quelques fois,Non,Non applicable,Non applicable,Ne peut pas se le permettre,Beaucoup,Tout à fait en désaccord,D'accord avec l'Affirmation 1,Non,Aucun contact / Non applicable,Aucun contact / Non applicable,Non,Aucun contact / Non applicable,Aucun contact / Non applicable,Jamais,Aucun contact / Non applicable, ,Pauvreté / misère, ,Insécurité alimentaire / famine, ,Eau,Plutôt bien,Plutôt bien,Très mal,Très mal,Très mal,Plutôt bien,Plutôt mal,Très mal,Plutôt mal,Plutôt mal,Très bien,Plutôt mal,Plutôt mal,D’accord,D’accord,En désaccord,En désaccord,En désaccord,Tout à fait en désaccord,Création d'emploi,D'accord avec l'Affirmation 2,Jamais,Jamais,Jamais,Jamais,Besoin d'en faire un peu plus,Quelque peu probable,Un chef traditionnel ou un tribunal traditionnel, ,Très probable,Pas du tout probable,Pas du tout probable,Pas très probable,Quelque peu probable,Non,Plutôt confiant,A peu près correcte,A peu près correcte,Beaucoup plus graves,Beaucoup plus graves,Beaucoup plus graves,Oui,Beaucoup pire,"L'activité humaine, comme l'abattage des forêts, ou la combustion de carburants et d'autres activités qui polluent l'","Le peuple, les entreprises et le gouvernement du pays",En désacord,En désacord,En désacord,Citoyens ordinaires,En accord,En accord,En accord,En désaccord,Non,Oui,Non,Non,Non,Tous les jours,Jamais,Jamais,Jamais,Jamais,Un peu,Quelque peu négative,Très positive,Quelque peu positive,Très positive,Très positive,Très positive,Très positive,Quelque peu positive,Aucun d'entre eux / Aucun pays ou organisation n'a aidé,Oui,Etre neutre,En accord,En accord,En accord,Pas du tout,Non applicable,Non applicable, ,Assez bien,Plus de demandeurs d'emploi,Plus de réfugiés,Très facile,Non,Tous les pays d'Afrique,D'accord avec l'Affirmation 1,D'accord avec l'Affirmation 2,Non,Pas du tout,Pas du tout,Pas du tout,Pas du tout informé,Pas du tout satisfait,Assez justifié,L’absence de soutien militaire de la CEDEAO face à la crise sécuritaire dans les pays de l'AES,En désacord,Ne sait pas,En accord,En accord,Beaucoup,Beaucoup,Plutôt mal,Plutôt mal,Non demandé dans le pays, ,"Ben, Moba", ,Quelques fois,Je me sens uniquement (identité nationale),Rarement,Jamais justifié,Parfois justifié,Jamais justifié,Jamais justifié,Tout à fait en désaccord,Tout à fait en désaccord,En accord,En accord,Tout à fait en accord,Tout à fait en accord,Beaucoup,Beaucoup,Beaucoup,Beaucoup,Beaucoup,Aime tout à fait,Aime tout à fait,N’aimeriez pas tout à fait,Sans importance,Sans importance,Aime tout à fait,Oui (se sent proche d’un parti),"Union pour la République, UNIR de Faure Essozimna Gnassingbé", ,Oui (en possède personnellement),Personne dans le ménage n’en possède,Personne dans le ménage n’en possède,Personne dans le ménage n’en possède,Personne dans le ménage n’en possède,Oui (en possède personnellement),Personne dans le ménage n’en possède,Non (N’a pas accès à l’Internet),Tous les jours,Jamais,"Rien, pas de latrines disponibles",Hors de la concession,Puits non protégé, ,Non,Non applicable,Oui,Panneaux solaires, ,Non (n’est pas à la recherche d’un emploi),Femme au ménage, ,Créer sa propre entreprise,Les jeunes manquent de compétences entrepreneuriales ou de motivation,Les employeurs préfèrent embaucher des hommes,Vous prenez les décisions vous-même,Enseignement primaire achevé,Eglise Catholique, ,"Union pour la République, UNIR de Faure Essozimna Gnassingbé", ,“Afrobarometere” ou partenaire national, ,Oui,10:18:28,122.510783333333,Non,Femme,"Ben, Moba", ,Aucune,Non,Non,Non,Non,Non,Amical(e),Interessé(e),Coopératif(ve),Patient(e),A l’aise,Honnête,TOG08,29,Femme,Non demandé dans le pays, ,Français, ,"Ben, Moba", ,Université achevée,Français,"Ben, Moba",Ewé,Pas d’autres réponses,Pas d’autres réponses,Pas d’autres réponses,Pas d’autres réponses,Pas d’autres réponses,Pas d’autres réponses,Pas d’autres réponses, ,.983784801,1.21182079225
TOG0002,Rural,SAVANE,TONE,Oui,Oui,Non,Oui,Oui,Non,Oui,Non,Oui,Oui,Oui,Ne peut déterminer,Oui,Non,Non,Non,Non,Non,En terre,En terre,Bonne,Entretien réussi,Entretien réussi,Entretien réussi,Entretien réussi,Entretien réussi,Entretien réussi,Entretien réussi,Entretien réussi,Entretien réussi,Entretien réussi,Entretien réussi,Entretien réussi,11/14/2024,8:17:48,25,"Ben, Moba", ,Dans la mauvaise direction,Ni bien ni mal,Ni bien ni mal,Meilleures,Identiques,Pires,Jamais,Jamais,Quelques fois,Quelques fois,Quelques fois,Non,Non,Non,Juste 1 ou 2 fois,Pas du tout libre,Entièrement libre,Entièrement libre,Non,Non,Non,Non,Jamais,Jamais,Jamais,Je n'ai pas voté,Non applicable,Autre raison,Non applicable,Tout à fait en accord,Entièrement libres et transparentes,Pas du tout probable,Quelque peu,D'accord avec l'Affirmation 1,D'accord avec l'Affirmation 1,D'accord avec l'Affirmation 1,D'accord avec l'Affirmation 1,D'accord avec l'Affirmation 1,Tout à fait en désaccord,D’accord,Tout à fait en désaccord,AFFIRMATION 1: La démocratie est préférable à toute autre forme de gouvernement.,D'accord avec l'Affirmation 1,D'accord avec l'Affirmation 2,D'accord avec l'Affirmation 2,D'accord avec l'Affirmation 2,D'accord avec l'Affirmation 1,D'accord avec l'Affirmation 2,D'accord avec l'Affirmation 1,D'accord avec l'Affirmation 1,D'accord avec l'Affirmation 2,D'accord avec l'Affirmation 2,Affirmation 3: Les militaires doivent gouverner aussi longtemps qu'ils pensent que c'est le mieux pour le pays.,"Une démocratie, mais avec des problèmes mineurs",Pas très satisfait,Souvent,Jamais,Souvent,Jamais,Souvent,Toujours,Pas très libres,Quelques fois seulement,Quelques fois seulement,Pas du tout confiance,Pas du tout confiance,Pas du tout confiance,Pas du tout confiance,Pas du tout confiance,Pas du tout confiance,Juste un peu confiance,Juste un peu confiance,Pas du tout confiance,Juste un peu confiance,Juste un peu confiance,Juste un peu confiance,Pas du tout confiance,Tous,Tous,La plupart d’entre eux,La plupart d’entre eux,Tous,Tous,Tous,Certains d’entre eux,Aucun,Certains d’entre eux,Certains d’entre eux,Quelque peu augmenté,Peuvent signaler sans peur,Oui,Facile,Jamais,Quelques fois,Quelques fois,Quelques fois,Souvent,Quelques fois,Non,Non applicable,Non applicable,Pas de régime d'assurance maladie dans cette région/ dans le pays,Beaucoup,Tout à fait en accord,D'accord avec l'Affirmation 1,Non,Aucun contact / Non applicable,Aucun contact / Non applicable,Non,Aucun contact / Non applicable,Aucun contact / Non applicable,Jamais,Aucun contact / Non applicable, ,Education, ,Chômage, ,Pauvreté / misère,Très mal,Plutôt bien,Très mal,Plutôt mal,Plutôt mal,Plutôt mal,Très mal,Plutôt mal,Plutôt mal,Plutôt mal,Plutôt bien,Plutôt bien,Plutôt bien,En désaccord,En désaccord,En désaccord,D’accord,En désaccord,Tout à fait en désaccord,Création d'emploi,D'accord avec l'Affirmation 2,Souvent,Jamais,Jamais,Souvent,Besoin d'en faire un peu plus,Très probable,Un chef traditionnel ou un tribunal traditionnel, ,Quelque peu probable,Quelque peu probable,Quelque peu probable,Quelque peu probable,Quelque peu probable,Non,Plutôt confiant,A peu près correcte,A peu près correcte,Beaucoup plus graves,Beaucoup plus graves,Quelque peu plus graves,Oui,Beaucoup pire,"L'activité humaine, comme l'abattage des forêts, ou la combustion de carburants et d'autres activités qui polluent l'","Le peuple, les entreprises et le gouvernement du pays",En accord,En accord,Tout à fait en accord,Citoyens ordinaires,En accord,En accord,En accord,En accord,Non,Non,Oui,Non,Non,Jamais,Jamais,Jamais,Tous les jours,Jamais,Beaucoup,Quelque peu positive,Quelque peu positive,Ni positive ni négative,Quelque peu positive,Quelque peu négative,Très positive,Très positive,Très positive,L'Union africaine ou le CDC,Non,Non applicable,En accord,En accord,En accord,Beaucoup,Un autre pays dans la région,La pauvreté/ l’indigence, ,Assez bien,Moins de demandeurs d'emploi,Plus de réfugiés,Difficile,Non,Tous les pays du monde,D'accord avec l'Affirmation 2,D'accord avec l'Affirmation 2,Non,Pas du tout,Pas du tout,Pas du tout,Pas du tout informé,Pas du tout satisfait,Ni justifié ni non justifié,L’absence de soutien militaire de la CEDEAO face à la crise sécuritaire dans les pays de l'AES,En accord,En accord,En accord,En désacord,Beaucoup,Beaucoup,Plutôt bien,Plutôt bien,Non demandé dans le pays, ,"Ben, Moba", ,Jamais,Je me sens autant (identité nationale) que (groupe ethnique),Occasionallement,Jamais justifié,Parfois justifié,Parfois justifié,Parfois justifié,En désaccord,En désaccord,Tout à fait en accord,Tout à fait en accord,Tout à fait en accord,En désaccord,Beaucoup,Un peu,Un peu,Beaucoup,Un peu,Aime tout à fait,Aime tout à fait,N’aimeriez pas tout à fait,Aime tout à fait,Aime tout à fait,Aime tout à fait,Non (Ne se sent proche d’AUCUN parti politique),Non Applicable, ,Oui (en possède personnellement),Personne dans le ménage n’en possède,Personne dans le ménage n’en possède,Personne dans le ménage n’en possède,Personne dans le ménage n’en possède,Oui (en possède personnellement),Oui (en possède personnellement),Oui (A accès à l’Internet),Tous les jours,Jamais,Hors de la concession,Hors de la concession,Puits tubulaire ou forage, ,Oui,La plupart du temps,Non,Non applicable, ,Non (n’est pas à la recherche d’un emploi),"Artisan ou travailleur qualifié (ex. métiers comme électricien, mécanicien, machiniste, ou fabricant qualifié)", ,Travailler pour une organisation non gouvernementale,Les jeunes ne sont pas disposés à occuper certains emplois,Les employeurs préfèrent embaucher des hommes,Vous prenez les décisions de commun accord avec les autres membres de votre ménage,Enseignement secondaire / lycée inachevé,Eglise Catholique, ,"Union pour la République, UNIR de Faure Essozimna Gnassingbé", ,“Afrobarometere” ou partenaire national, ,Oui,11:26:17,175,Oui,Femme,"Ben, Moba", ,Un autre adulte/Quelques autres personnes,Non,Non,Non,Non,Non,Amical(e),Entre les deux,Coopératif(ve),Entre les deux,A l’aise,Honnête,TOG06,37,Femme,Non demandé dans le pays, ,"Ben, Moba", ,"Ben, Moba", ,Université inachevée,Français,"Ben, Moba",Ewé,Gourma,Haoussa,"Tem, Kotokoli",Pas d’autres réponses,Pas d’autres réponses,Pas d’autres réponses,Pas d’autres réponses, ,.983784801,.90886559419
TOG0003,Rural,MARITIME,AVÉ,Oui,Non,Non,Oui,Oui,Non,Oui,Non,Oui,Non,Oui,Non,Oui,Non,Non,Non,Non,Non,En terre,goudron/béton pavé,Passable,Entretien réussi,Entretien réussi,Entretien réussi,Entretien réussi,Entretien réussi,Entretien réussi,Entretien réussi,Entretien réussi,Entretien réussi,Entretien réussi,Entretien réussi,Entretien réussi,11/14/2024,8:32:13,60,Ewé, ,Dans la mauvaise direction,Très mal,Très mal,Bien pires,Bien pires,Ne sait pas,Plusieurs fois,Juste 1 ou 2 fois,Quelques fois,Jamais,Plusieurs fois,"Oui, souvent","Oui, une ou deux fois",Non,Jamais,Pas très libre,Entièrement libre,Entièrement libre,Non,Non,Non,Non,Jamais,Jamais,Jamais,J'ai voté aux élections,Non applicable,Non applicable,Non applicable,Ni en accord ni en désaccord,Ni libres ni transparentes,Pas très probable,Un peu,D'accord avec l'Affirmation 2,D'accord avec l'Affirmation 1,D'accord avec l'Affirmation 1,D'accord avec l'Affirmation 2,D'accord avec l'Affirmation 1,Tout à fait en désaccord,Tout à fait d’accord,Tout à fait d’accord,AFFIRMATION 1: La démocratie est préférable à toute autre forme de gouvernement.,D'accord avec l'Affirmation 1,D'accord avec l'Affirmation 2,D'accord avec l'Affirmation 1,D'accord avec l'Affirmation 1,D'accord avec l'Affirmation 2,D'accord avec l'Affirmation 2,D'accord avec l'Affirmation 2,D'accord avec l'Affirmation 1,D'accord avec l'Affirmation 1,D'accord avec l'Affirmation 2,Affirmation 2: Les militaires doivent prévoir une transition progressive vers un régime civil lorsque le pays sera pr,Pas une démocratie,Pas du tout satisfait,Ne sait pas,Ne sait pas,Souvent,Toujours,Souvent,Rarement,Assez libres,Jamais,Jamais,Pas du tout confiance,Partiellement confiance,Pas du tout confiance,Partiellement confiance,Pas du tout confiance,Partiellement confiance,Partiellement confiance,Partiellement confiance,Juste un peu confiance,Partiellement confiance,Juste un peu confiance,Juste un peu confiance,Pas du tout confiance,Ne sait pas/ N’en a jamais entendu parler,Tous,La plupart d’entre eux,La plupart d’entre eux,La plupart d’entre eux,Tous,Tous,Certains d’entre eux,Certains d’entre eux,La plupart d’entre eux,Tous,Beaucoup augmenté,Risquent des représailles ou d’autres conséquences négatives,Oui,Très difficile,Jamais,Souvent,Quelques fois,Quelques fois,Souvent,Souvent,Non,Non applicable,Non applicable,Ne sait pas comment s'inscrire/trop compliqué,Un peu,Tout à fait en désaccord,D'accord avec l'Affirmation 1,Oui,Facile,Jamais,Non,Aucun contact / Non applicable,Aucun contact / Non applicable,Jamais,Aucun contact / Non applicable, ,Pauvreté / misère, ,Pas d’autres réponses, ,Pas d’autres réponses,Très mal,Très mal,Très mal,Très mal,Très mal,Plutôt bien,Très mal,Très mal,Plutôt mal,Très mal,Plutôt mal,Très mal,Plutôt mal,Tout à fait en désaccord,Tout à fait en désaccord,Tout à fait en désaccord,En désaccord,Tout à fait en désaccord,Ni en accord ni en désaccord,Création d'emploi,D'accord avec l'Affirmation 2,Rarement,Jamais,Jamais,Jamais,En fait assez,Pas du tout probable,Un chef traditionnel ou un tribunal traditionnel, ,Pas très probable,Pas très probable,Quelque peu probable,Pas très probable,Pas très probable,Non,Pas très confiant,Trop indulgent,Trop indulgent,Pareils,Beaucoup plus graves,Pareils,Oui,Quelque peu meilleure,Les phénomènes météorologiques naturels ou les processus naturels,"Le peuple, les entreprises et le gouvernement du pays",Tout à fait en désaccord,Ni en accord ni en désaccord,Ni en accord ni en désaccord,Citoyens ordinaires,Ni en accord ni en désaccord,Ni en accord ni en désaccord,En accord,Tout à fait en désaccord,Non,Non,Non,Oui,Oui,Jamais,Jamais,Jamais,Quelques fois par semaine,Jamais,Ne sait pas/ N’n a pas assez entendu parler,Très négative,Ne sait pas,Très positive,Quelque peu positive,Quelque peu positive,Quelque peu négative,Très négative,Quelque peu négative,La Chine,Non,Non applicable,Ni en accord ni en désaccord,Ni en accord ni en désaccord,Ne sait pas/ N’n a pas assez entendu parler,Beaucoup,"Amérique du Nord (ie, USA ou Canada)",La recherche de travail, ,Assez mal,Moins de demandeurs d'emploi,Ni plus ni moins de réfugiés,Facile,Non,Tous les pays du monde,D'accord avec l'Affirmation 1,D'accord avec l'Affirmation 1,Non,Pas du tout,Pas du tout,Pas du tout,Pas du tout informé,Pas du tout satisfait,Ni justifié ni non justifié,Les sanctions imposées par la CEDEAO,Tout à fait en désaccord,Ne sait pas,Tout à fait en désaccord,Tout à fait en accord,Pas du tout,Juste un peu,Très mal,Très mal,Non demandé dans le pays, ,Ewé, ,Jamais,Je me sens uniquement (identité nationale),Jamais,Parfois justifié,Parfois justifié,Jamais justifié,Jamais justifié,Ni en accord ni en désaccord,Ni en accord ni en désaccord,En accord,Tout à fait en accord,Ni en accord ni en désaccord,En accord,Un peu,Pas du tout,Pas du tout,Un peu,Pas du tout,N’aimeriez pas tout à fait,N’aimeriez pas tout à fait,N’aimeriez pas tout à fait,N’aimeriez pas quelque peu,N’aimeriez pas quelque peu,N’aimeriez pas tout à fait,Oui (se sent proche d’un parti),"Alliance Nationale pour le Changement, ANC de Jean-Pierre Fabre", ,Quelqu’un d’autre dans le ménage en possède,Oui (en possède personnellement),Quelqu’un d’autre dans le ménage en possède,Personne dans le ménage n’en possède,Oui (en possède personnellement),Oui (en possède personnellement),Oui (en possède personnellement),Oui (A accès à l’Internet),Quelques fois par semaine,Quelques fois par mois,A l’intérieur de la concession,Hors de la concession,Puits tubulaire ou forage, ,Oui,La plupart du temps,Non,Non applicable, ,Non (à la recherche d’un emploi),Commerçant/marchand ambulant/vendeur, ,Créer sa propre entreprise,Manque de formation ou de préparation adéquate,Les employeurs préfèrent embaucher des hommes,Vous prenez les décisions vous-même,Enseignement secondaire / lycée inachevé,Religion traditionnelle/ethnique, ,"Alliance Nationale pour le Changement, ANC de Jean-Pierre Fabre", ,Institut / Organisation / Programme de recherche [mais pas Afrobarometer ou partenaire national], ,Oui,11:20:36,168.388283333333,Non,Femme,Ewé, ,Enfants uniquement,Non,Non,Non,Non,Non,Amical(e),Interessé(e),Coopératif(ve),Entre les deux,A l’aise,Honnête,TOG18,24,Homme,Non demandé dans le pays, ,Ewé, ,Ouatchi, ,Université achevée,Français,Ewé,Ouatchi,Pas d’autres réponses,Pas d’autres réponses,Pas d’autres réponses,Pas d’autres réponses,Pas d’autres réponses,Pas d’autres réponses,Pas d’autres réponses, ,.673850461,.25670493748
